,Rank,Title,Score,popularity,Members,Type,Episodes,Genre,Demographic,Start Date,End Date,Image,Link,Start Year,End Year
119,120,Sora yori mo Tooi Basho,8.52,434,489913,TV,13,"['Adventure', 'Comedy', 'Drama']",,2018-01-01,2018-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/6/89879.jpg?s=d52640477aed96a4510bacbdab893f00,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,2018,2018.0
120,121,Kara no Kyoukai Movie 5: Mujun Rasen,8.52,991,234563,Movie,1,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Suspense']",,2008-01-08,2008-01-08,https://cdn.myanimelist.net/r/100x140/images/anime/1574/112838.jpg?s=49cd2e099ddc42974cf6d9e31580cfc1,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen,2008,2008.0
121,122,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,1039,223715,TV,26,"['Action', 'Mystery', 'Sci-Fi']",Seinen,2004-01-01,2005-01-01,https://cdn.myanimelist.net/r/100x140/images/anime/1646/135390.jpg?s=1f6586cf730b131cb2c6a5fc270f9748,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,2004,2005.0
122,123,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,1399,160564,Movie,1,"['Action', 'Comedy', 'Sci-Fi']",Shounen,2010-01-04,2010-01-04,https://cdn.myanimelist.net/r/100x140/images/anime/4/28803.jpg?s=61899db8938b420c56efdf3865373deb,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen,2010,2010.0
123,124,Gintama.: Porori-hen,8.52,1168,196211,TV,13,"['Action', 'Comedy', 'Sci-Fi']",Shounen,2017-01-10,2017-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/11/88325.jpg?s=0a3faa89ca4d394efd1050c7202def94,https://myanimelist.net/anime/35843/Gintama__Porori-hen,2017,2017.0
124,125,Hotaru no Haka,8.51,300,654712,Movie,1,['Drama'],,1988-01-04,1988-01-04,https://cdn.myanimelist.net/r/100x140/images/anime/7/75808.jpg?s=9724c991147dd3e5301b858859e5f9ca,https://myanimelist.net/anime/578/Hotaru_no_Haka,1988,1988.0
125,126,Samurai Champloo,8.51,107,1210586,TV,26,"['Action', 'Adventure', 'Comedy']",,2004-01-05,2005-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/1375/121599.jpg?s=e994e811887b753e8b1266abff329ae7,https://myanimelist.net/anime/205/Samurai_Champloo,2004,2005.0
126,127,Shingeki no Kyojin Season 2,8.51,12,2630123,TV,12,"['Action', 'Drama', 'Suspense']",Shounen,2017-01-04,2017-01-06,https://cdn.myanimelist.net/r/100x140/images/anime/4/84177.jpg?s=a7c4462cf6f5458a8b28496a75863876,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,2017,2017.0
127,128,One Punch Man,8.5,4,3126859,TV,12,"['Action', 'Comedy']",Seinen,2015-01-10,2015-01-12,https://cdn.myanimelist.net/r/100x140/images/anime/12/76049.jpg?s=5fb4a855a3e5388ec29a68739bb1d835,https://myanimelist.net/anime/30276/One_Punch_Man,2015,2015.0
128,129,Summertime Render,8.5,447,481321,TV,25,"['Mystery', 'Supernatural', 'Suspense']",Shounen,2022-01-04,2022-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1120/120796.jpg?s=7b0554ef40a04fad20915e2291ad8a0b,https://myanimelist.net/anime/47194/Summertime_Render,2022,2022.0
